Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Faridah Àbíké-Íyímídé,Ace of Spades,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Elizabeth Acevedo,Clap When You Land,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Elizabeth Acevedo,The Poet X,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Elizabeth Acevedo,The Poet X,Banned in Libraries and Classrooms,,,,New York,Marlboro Central School District,February 2022,Administration,2022
Elizabeth Acevedo,The Poet X,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Elizabeth Acevedo,The Poet X,Banned in Libraries,,,,Virginia,New Kent County Public Schools,October 2021,Administration,2021
André Aciman,Call Me By Your Name (Call Me By Your Name Series),Banned Pending Investigation,,,,Virginia,Spotsylvania County Public Schools,November 2021,Administration,2021
Marc Acito,"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Alma Flor Ada,My Name Is María Isabel,Banned Pending Investigation,,"Thompson, Kathryn Dyble","Cerro, Ana M.",Florida,Duval County Public Schools,January 2022,Administration,2022
Maha Addasi,Time to Pray,Banned Pending Investigation,,"Gannon, Ned","Albitar, Nuha",Florida,Duval County Public Schools,January 2022,Administration,2022
Tomi Adeyemi,Children of Blood and Bone (Legacy of Orïsha Series),Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Koja Adeyoha,"47,000 Beads",Banned in Classrooms,"Adeyoha, Angel","McGillis, Holly",,Pennsylvania,Central York School District,August 2021,Administration,2021
Chimamanda Ngozi Adichie,Half of a Yellow Sun,Banned in Classrooms,,,,Michigan,Hudsonville Public Schools,January 2022,Formal Challenge,2022
Dahlia Adler,Cool for the Summer,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Charlotte Agell,The Accidental Adventures of India McAllister,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Arvin Ahmadi,How It All Blew Up,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Arvin Ahmadi,How It All Blew Up,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Roda Ahmed,Mae Among the Stars,Banned in Classrooms,,"Burrington, Stasia",,Pennsylvania,Central York School District,August 2021,Administration,2021
Samira Ahmed,"Love, Hate & Other Filters",Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Samira Ahmed,"Love, Hate & Other Filters",Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Sara K. Ahmed,Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Sara K. Ahmed,Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Becky Albertalli,Here's to Us,Banned Pending Investigation,"Silvera, Adam",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Becky Albertalli,Kate in Waiting,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Becky Albertalli,Leah on the Offbeat (Simonverse Series),Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Becky Albertalli,Leah on the Offbeat (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Becky Albertalli,"Love, Creekwood: A Simonverse Novella (Simonverse Series)",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Becky Albertalli,Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Becky Albertalli,Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Becky Albertalli,Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Becky Albertalli,The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Becky Albertalli,The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Becky Albertalli,The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Becky Albertalli,What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Becky Albertalli,What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Texas,Granbury Independent School District,January 2022,Administration,2022
Becky Albertalli,What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Texas,North East Independent School District,December 2021,Administration,2021
Daniel Aleman,Indivisible,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
