Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge,Year
Call Me By Your Name,André Aciman,,,,Call Me By Your Name,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
The Haters,Jesse Andrews,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Red Hood,Elana K. Arnold,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Handmaid's Tale,Margaret Atwood,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,,"Nault, Renee",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Forever...,Judy Blume,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
How Beautiful the Ordinary: Twelve Stories of Identity,Michael Cart,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Perks of Being a Wallflower,Stephen Chbosky,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Flamer,Mike Curato,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Extremely Loud and Incredibly Close,Jonathan Safran Foer,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Carnival at Bray,Jessie Ann Foley,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Freedom Writers Diary,Erin Gruwell,The Freedom Writers,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Homegoing,Yaa Gyasi,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Robie H. Harris,,"Emberley, Michael",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Sex: An Uncensored Introduction,Nikol Hasler,,"Capozzola, Michael",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
It Ends With Us,Colleen Hoover,,,,It Ends with Us,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
Ugly Love,Colleen Hoover,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
Verity,Colleen Hoover,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
Crank,Ellen Hopkins,,,,Crank,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Identical,Ellen Hopkins,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Perfect (EH),Ellen Hopkins,,,,Impulse,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Tilt (EH),Ellen Hopkins,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
I Never,Laura Hopper,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Kite Runner,Khaled Hosseini,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Kite Runner Graphic Novel,Khaled Hosseini,,"Celoni, Fabio; Andolfo, Mirka",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Monday's Not Coming,Tiffany D. Jackson,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,,,,Hamilton High,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
You: A Novel of Dark Obsession,Caroline Kepnes,,,,You,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
Last Night at the Telegraph Club,Malinda Lo,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
A Court of Frost and Starlight,Sarah J. Maas,,,,A Court of Thorns and Roses,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
