Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge,Year
To Every Thing There is a Season: Verses from Ecclesiastes,Diane Dillon,"Dillon, Leo",,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge,2023
To Kill a Mockingbird,Harper Lee,,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
To Kill a Mockingbird,Harper Lee,,,,,Florida,The School District of Palm Beach County,July 2022,Banned Pending Investigation,Legislative Action,2022
Too Bright to See,Kyle Lukoff,,,,,Florida,Escambia County Public Schools,February 2023,Banned Pending Investigation,Formal Challenge,2023
Too Bright to See,Kyle Lukoff,,,,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action,2022
Touch,Francine Prose,,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Toulouse-Lautrec: At the Moulin Rouge,Federico Zeri,"Toulouse-Lautrec, Henri De; Dolcetta, Marco; Mazour, Elena",,,One Hundred Paintings,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action,2022
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,Utah,Davis School District,December 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge,2022
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge,2022
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,Florida,Escambia County Public Schools,March 2023,Banned Pending Investigation,Formal Challenge,2023
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,Florida,Volusia County Schools,March 2023,Banned from Libraries and Classrooms,Administration,2023
Traffick,Ellen Hopkins,,,,Tricks,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration,2023
Traffick,Ellen Hopkins,,,,Tricks,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Informal Challenge,2022
Traffick,Ellen Hopkins,,,,Tricks,Texas,Keller Independent School District,January 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Traffick,Ellen Hopkins,,,,Tricks,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
Traffick,Ellen Hopkins,,,,Tricks,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Traffick,Ellen Hopkins,,,,Tricks,Florida,Hernando County Schools,October 2022,Banned from Libraries and Classrooms,Administration,2022
Traffick,Ellen Hopkins,,,,Tricks,Florida,Martin County Schools,March 2023,Banned from Libraries and Classrooms,Administration,2023
"Trans Bodies, Trans Selves: A Resource By and for Transgender Communities",Laura Erickson-Schroth,,,,,Wyoming,Natrona County Schools,October 2022,Banned Pending Investigation,Formal Challenge,2022
Trans Mission: My Quest to a Beard,Alex Bertie,,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Trans Teen Survival Guide,Owl Fisher,"Fisher, Fox",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
"Trans+: Love, Sex, Romance, and Being You",Kathryn Gonzales,"Rayne, Karen",,,,Virginia,Spotsylvania County Public Schools,April 2023,Banned Pending Investigation,Formal Challenge,2023
Transgender Activists and Celebrities,The New York Times Editorial Staff,,,,Public Profiles,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge,2022-2023
"Transgender Lives: Complex Stories, Complex Voices",Kirstin Cronn-Mills,,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge,2022
Transgender Rights: Striving for Equality,The New York Times Editorial Staff,,,,In the Headlines,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge,2022-2023
Triangles,Ellen Hopkins,,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge,2022
Triangles,Ellen Hopkins,,,,,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
Triangles,Ellen Hopkins,,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge,2022
Triangles,Ellen Hopkins,,,,,Florida,Martin County Schools,March 2023,Banned from Libraries and Classrooms,Administration,2023
Triangles,Ellen Hopkins,,,,,Florida,Seminole County Public Schools,October 2022,Banned from Libraries,Formal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Wyoming,Natrona County Schools,May 2023,Banned from Libraries,Formal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Wisconsin,School District of Waukesha,December 2022,Banned from Libraries,Formal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Virginia,Hanover County Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Informal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Texas,Lake Travis Independent School District,March 2023,Banned from Libraries and Classrooms,Informal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Tennessee,Wilson County Schools,December 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,South Carolina,Beaufort County School District,October 2022,Banned from Libraries,Informal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Michigan,Chippewa Valley Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Kentucky,Campbell County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
